repository,type,source,keyword,summary,link,status
alan-turing-institute/AIrsenal,Issue,body+comment,OS=debian|unix; FIX=bug|fix|fixed|workaround; CAUSE=symlink|time zone|timezone,airsenal_update_db can't handle multiple timezones,https://github.com/alan-turing-institute/AIrsenal/issues/703,To review
aws/aws-parallelcluster,Issue,body+title,OS=ubuntu; FIX=fail|failure,"(3.7.0-3.12.0) Cluster creation failure on custom Ubuntu AMIs shipping OpenSSH 9.7+, caused by unsupported DSA keys",https://github.com/aws/aws-parallelcluster/issues/6656,To review
aws-deadline/deadline-cloud,Issue,comment,OS=windows; FIX=bug; CAUSE=timezone,Docs: How to purge old workers (status: Not responding),https://github.com/aws-deadline/deadline-cloud/issues/597,To review
OSInside/kiwi,Issue,body+comment,OS=debian; FIX=bug|fix|fixed,kiwi contains source files with timestamps set to epoch 0,https://github.com/OSInside/kiwi/issues/2730,To review
commaai/agnos-builder,Issue,body,OS=ubuntu; FIX=fails|fix,"Errors while running build_system.sh (ffmpeg, qtwaland5, modemmanager)",https://github.com/commaai/agnos-builder/issues/455,To review
ClusterLabs/pcs,Issue,body+comment,OS=fedora; FIX=bug|fix|fixed; CAUSE=utf-8,PCS 0.11.8 - Cannot load metadata of agent,https://github.com/ClusterLabs/pcs/issues/936,To review
Second-Hand-Friends/kleinanzeigen-bot,Issue,body+title,OS=unix|windows; FIX=bug|fail|failing; TEST_CI=test|tests; CAUSE=path separator,[BUG] Windows Path Handling in Ad Configuration Tests,https://github.com/Second-Hand-Friends/kleinanzeigen-bot/issues/409,To review
camel-ai/camel,Issue,body+title,OS=windows; FIX=bug,[BUG] Partitioning PDF File in VectorRetriever Due to Missing libmagic Dependency on Windows,https://github.com/camel-ai/camel/issues/1560,To review
aws-deadline/deadline-cloud,Issue,body+title,OS=macos; FIX=bug,Bug: job attachments hashing gets stuck during GUI submit on MacOS in certain cases,https://github.com/aws-deadline/deadline-cloud/issues/588,To review
aws-deadline/deadline-cloud-for-nuke,Issue,body+title,OS=linux|windows; FIX=bug|fail|workaround,Bug: Nuke submitter should have a default Linux host requirement,https://github.com/aws-deadline/deadline-cloud-for-nuke/issues/190,To review
aws-deadline/deadline-cloud,Issue,body+title,OS=linux|macos|windows; FIX=bug,Bug: host requirements dropdowns don't work in macOS,https://github.com/aws-deadline/deadline-cloud/issues/587,To review
aws/aws-parallelcluster,Issue,body+title,OS=linux; FIX=fails,pcluster build-image fails for Deep Learning OSS Nvidia Driver AMI (Amazon Linux 2),https://github.com/aws/aws-parallelcluster/issues/6653,To review
OpenMDAO/OpenMDAO,Issue,body+title,OS=macos; FIX=failing; TEST_CI=test|tests|workflow,The NumPy 2.x test workflow is failing on MacOS after update to SuperLU v7.0.0,https://github.com/OpenMDAO/OpenMDAO/issues/3445,To review
ag2ai/ag2,Issue,body+title,OS=darwin|macos; FIX=bug|cross-platform|failing,[Bug]: Documentation serving is not working,https://github.com/ag2ai/ag2/issues/775,To review
Xpra-org/xpra,Issue,body+comment,OS=debian|ubuntu|windows; FIX=broken|fixed|fixes,xpra ignores server global Plasma theme,https://github.com/Xpra-org/xpra/issues/4490,To review
agno-agi/agno,Issue,body+title,OS=windows; FIX=bug; CAUSE=encoding|utf-8,[Bug] save_response_to_file encoding on windows,https://github.com/agno-agi/agno/issues/1963,Related!!
Xpra-org/xpra,Issue,body+title,OS=debian; FIX=bug|fails|fix,Debian installation fails with LTS repository,https://github.com/Xpra-org/xpra/issues/4489,To review
OpenmindAGI/OM1,Issue,body+comment+title,OS=linux|macos|ubuntu|windows; FIX=compatibility|fix|fixed; API=sys.platform,Error running RacoonSim in ubuntu,https://github.com/OpenMind/OM1/issues/46,To review
OSInside/kiwi,Issue,body+comment,OS=linux|ubuntu; FIX=fixed|fixes|skip; CAUSE=timezone,"Missing *.sha256 file for image results in dracut error message ""Reading /run/image/*.sha256 failed""",https://github.com/OSInside/kiwi/issues/2726,To review
CSBDeep/CSBDeep,Issue,body+comment+title,OS=windows; FIX=fix|workaround; TEST_CI=ci; CAUSE=symlink,Problem when getting pretrained model on Windows because it is not always possible to create symlinks,https://github.com/CSBDeep/CSBDeep/issues/86,Related!!
containers/podman-py,Issue,body+title,OS=alpine|arch|fedora|linux|macos; FIX=bug,[BUG] empty stdout/stderr for `exec_run` on macOS,https://github.com/containers/podman-py/issues/506,Related!!
Xpra-org/xpra,Issue,body+title,OS=debian; FIX=broken|bug,Broken Dependencies on Debian trixie,https://github.com/Xpra-org/xpra/issues/4487,Not related
OpenMDAO/OpenMDAO,Issue,body+comment+title,OS=macos|windows; FIX=fail|failure; TEST_CI=ci|test|tests,occasional test failures with the `openmdao clean` command,https://github.com/OpenMDAO/OpenMDAO/issues/3434,To review
JoshuaC215/agent-service-toolkit,Issue,body+title,OS=windows; FIX=compatibility|fails,httpx Client Compatibility Issue on Windows 11( 503 err),https://github.com/JoshuaC215/agent-service-toolkit/issues/139,Not related
aboutcode-org/scancode-toolkit,Issue,body,OS=linux|windows; FIX=broken|bug|fix; TEST_CI=test,License References table missing from HTML output,https://github.com/aboutcode-org/scancode-toolkit/issues/4101,To review
conda/conda-recipe-manager,Issue,body+title,OS=osx|ubuntu; FIX=bug|skip; TEST_CI=test|tests,`convert` command produces invalid `tests` section,https://github.com/conda/conda-recipe-manager/issues/289,To review
camel-ai/camel,Issue,body+title,OS=win32|windows; FIX=bug|fails; API=subprocess,[BUG] uvloop does not support Windows at the moment,https://github.com/camel-ai/camel/issues/1455,To review
aiidateam/aiida-core,Issue,body+title,OS=linux|ubuntu; FIX=fails; TEST_CI=ci|github actions,"CI fails, despite uv file being updated",https://github.com/aiidateam/aiida-core/issues/6712,To review
Azure/azure-functions-python-worker,Issue,body+title,OS=linux; FIX=bug; TEST_CI=test,[Bug] Importing from azure-storage-blob makes functions not showing on Linux App Service Plan,https://github.com/Azure/azure-functions-python-worker/issues/1629,To review
OpenBB-finance/OpenBB,Issue,title,OS=windows; FIX=bug|fails,[Bug] Installer Fails On Windows Because Poetry Can't Downgrade Itself,https://github.com/OpenBB-finance/OpenBB/issues/7001,To review
ag2ai/ag2,Issue,body+title,OS=windows; FIX=bug|failing; TEST_CI=ci,[Bug]: CI is failing for some Windows jobs,https://github.com/ag2ai/ag2/issues/430,Related!!
GispoCoding/eis_toolkit,Issue,body+title,OS=windows; FIX=bug; API=subprocess,[Bug]: Problem installing gdal on windows,https://github.com/GispoCoding/eis_toolkit/issues/480,To review
IDAES/idaes-pse,Issue,comment+title,OS=ubuntu; FIX=failure,RuntimeError: Pynumero not available due to Ubuntu 24.04 being unsupported by `idaes get-extensions`,https://github.com/IDAES/idaes-pse/issues/1557,To review
GNS3/gns3-server,Issue,body+comment,OS=debian|linux|ubuntu|windows; FIX=broken|bug|fix|fixed; TEST_CI=test; CAUSE=.so,GNS3 comes with swtpm 0.7.3 and requires 0.8.0,https://github.com/GNS3/gns3-server/issues/2479,To review
ag2ai/ag2,Issue,body+title,OS=ubuntu; FIX=failing; TEST_CI=ci|test|tests,[Issue]: OpenAI tests are failing in the CI,https://github.com/ag2ai/ag2/issues/343,To review
TheCellule/python-bleson,Issue,body+title,OS=linux; FIX=fix|workaround,Bleson breaks after linux update (suggested workaround),https://github.com/TheCellule/python-bleson/issues/92,To review
Steffenhir/GraXpert,Issue,title,OS=windows; FIX=fails,GraXpert fails to use GPU acceleration on Dell Precision 5690 with Windows Enterprise 11,https://github.com/Steffenhir/GraXpert/issues/207,To review
aws-deadline/deadline-cloud-for-cinema-4d,Issue,body+title,OS=linux; FIX=bug|fails; TEST_CI=test,Bug: (Linux) C4D render fails with false positive,https://github.com/aws-deadline/deadline-cloud-for-cinema-4d/issues/133,To review
aws/aws-sam-cli,Issue,body+title,OS=linux|ubuntu|windows; FIX=bug|fix,"Bug: Using Ubuntu 24.04, how to fix issue with latest installed but OS will not find",https://github.com/aws/aws-sam-cli/issues/7808,To review
aws/aws-sam-cli,Issue,body+title,OS=linux|unix|windows; FIX=bug,Bug: `sam invoke start-api` doesn't mount sam artifacts on /var/task on Windows with Rancher Desktop,https://github.com/aws/aws-sam-cli/issues/7807,To review
PEtab-dev/libpetab-python,Issue,comment,OS=windows; FIX=fix,antlr runtime version,https://github.com/PEtab-dev/libpetab-python/issues/344,To review
christoph2/pyxcp,Issue,body+title,OS=linux; FIX=fix,linux wheel files are not posted to PyPi since 0.22.0,https://github.com/christoph2/pyxcp/issues/186,To review
Azure/azure-functions-python-worker,Issue,body+title,OS=windows; FIX=bug|fails; TEST_CI=test,[Bug] Psycopg: Unable to connect in async mode with asyncio on Windows,https://github.com/Azure/azure-functions-python-worker/issues/1623,To review
applied-material-modeling/neml2,Issue,body+title,OS=ubuntu; FIX=bug,Upgrade github ubuntu runner to latest,https://github.com/applied-material-modeling/neml2/issues/184,Not related
apple/axlearn,Issue,body+title,OS=darwin|macos; FIX=fails; TEST_CI=test|tests; CAUSE=.so,tensorflow-text fails to build on MacOS 15.1.1 arm64 when following axlearn instructions,https://github.com/apple/axlearn/issues/892,To review
aws-deadline/deadline-cloud-for-cinema-4d,Issue,body+title,OS=linux|windows; FIX=bug|fails,Bug: Texture assets don't get path mapped,https://github.com/aws-deadline/deadline-cloud-for-cinema-4d/issues/125,To review
G-Node/nixpy,Issue,body+comment,OS=debian; FIX=skip; TEST_CI=test,Please consider replacing lenna.png,https://github.com/G-Node/nixpy/issues/545,Not related
beetbox/beets,Issue,body+title,OS=linux|ubuntu; FIX=broken|skip; TEST_CI=ci|test|unittest,[2.2.0] flaky `test/test_art_resize.py`,https://github.com/beetbox/beets/issues/5537,To review
artisan-roaster-scope/artisan,Issue,body+comment,OS=macos|windows; FIX=fix|fixed; API=subprocess,Error upon opening Scheduler tool,https://github.com/artisan-roaster-scope/artisan/issues/1756,To review
WordPress/openverse,Issue,body+title,OS=fedora|linux|macos; FIX=bug|fail|failing|fails|fix|skip,`ov init` fails because Docker engine cannot be installed on Fedora 42,https://github.com/WordPress/openverse/issues/5246,To review
SigmaHQ/pySigma-backend-elasticsearch,Issue,body,OS=windows; FIX=fail; API=os.path,Error while matching wildcards on fields without keyword subfield,https://github.com/SigmaHQ/pySigma-backend-elasticsearch/issues/103,To review
beetbox/beets,Issue,body+title,OS=openbsd; FIX=fails; TEST_CI=test|unittest,Test fails on OpenBSD at 2.2.0: `At index 13 diff: b'\x00' != b'\x01'`,https://github.com/beetbox/beets/issues/5527,To review
beetbox/beets,Issue,body+title,OS=openbsd; FIX=fails; TEST_CI=pytest|test,Test fails on OpenBSD at 2.2.0: `fixture 'client' not found`,https://github.com/beetbox/beets/issues/5526,To review
METR/vivaria,Issue,body,OS=linux; FIX=fails,pyhook's get_available_ram_bytes does not support cgroup v1,https://github.com/METR/vivaria/issues/745,To review
OSInside/kiwi,Issue,body+comment,OS=fedora|linux|ubuntu|windows; FIX=bug|compatibility; TEST_CI=test,Add support for building GPT-labelled ISOs with xorriso,https://github.com/OSInside/kiwi/issues/2685,To review
aws-deadline/deadline-cloud-for-cinema-4d,Issue,body+title,OS=linux|windows; FIX=bug; TEST_CI=test,Bug: Path mapping between a Windows scene and a Linux worker does not work as expected,https://github.com/aws-deadline/deadline-cloud-for-cinema-4d/issues/118,To review
alttester/AltTester-Unity-SDK,Issue,title,OS=macos; FIX=workaround,Update docs with workaround for MacOS Unreal SDK,https://github.com/alttester/AltTester-Unity-SDK/issues/1719,To review
SMTG-Bham/doped,Issue,title,OS=windows; FIX=bug,[Windows bug with `vise`]; The vise.yaml file cannot be found in Defect Calculation Parsing of the doped tutorial.,https://github.com/SMTG-Bham/doped/issues/98,To review
beetbox/beets,Issue,body+comment,OS=windows; FIX=broken|fails|fix|fixed|fixes; TEST_CI=test,Fetchart Error: The process cannot access the file because it is being used by another process while moving,https://github.com/beetbox/beets/issues/5521,To review
Xpra-org/xpra,Issue,body,OS=manjaro|ubuntu|unix|windows; FIX=bug|fix; CAUSE=encoding,"`xpra start-gui` ""start&attach"" session terminates when no command is specified",https://github.com/Xpra-org/xpra/issues/4426,To review
IDAES/idaes-pse,Issue,body+title,OS=windows; FIX=fails; TEST_CI=ci|gha|github actions|test|tests,Windows installation fails with error: could not create 'build\bdist.win-amd64\wheel\.\idaes\core\surrogate\tests\data\onnx_models\net_st_net_5000_STM_100_s_2000000_60_5_tanh_1e-06,https://github.com/IDAES/idaes-pse/issues/1540,To review
BDNYC/sedkit,Issue,body,OS=windows; FIX=fails,Failed building wheel for healpy,https://github.com/BDNYC/sedkit/issues/141,To review
comet-ml/opik,Issue,body+title,OS=macos|osx; FIX=bug,[Bug]: Docker on macOS can't run Opik after OSX upgrade,https://github.com/comet-ml/opik/issues/690,To review
Xpra-org/xpra,Issue,body+title,OS=arch|debian|linux; FIX=fail,Debian Trixie and Sid fail to build the CUDA kernels with clang,https://github.com/Xpra-org/xpra/issues/4424,To review
OpenwaterHealth/OpenLIFU-python,Issue,body+title,OS=windows; FIX=fails,to_json fails on windows,https://github.com/OpenwaterHealth/OpenLIFU-python/issues/168,Related!!
aws/sagemaker-training-toolkit,Issue,body+title,OS=macos; FIX=fails|failure,Build failure on MacOS,https://github.com/aws/sagemaker-training-toolkit/issues/225,Not related
aws/aws-parallelcluster,Issue,body+title,OS=linux; FIX=failing|failure,(3.11.x) Job submission failure with Amazon Linux 2023,https://github.com/aws/aws-parallelcluster/issues/6571,To review
astronomer/astronomer-cosmos,Issue,body+title,OS=darwin|macos; FIX=fix; TEST_CI=test|tests|unittest; API=sys.platform,Fix unittest related to the dir hash in MacOS,https://github.com/astronomer/astronomer-cosmos/issues/1329,Related!!
aws-cloudformation/cfn-lint,Issue,body+comment,OS=linux|posix|ubuntu; FIX=bug|compatibility|fail|fails|failure,Running `cfn-lint file_that_does_not_exist.yml` has exit code 0 and no error message,https://github.com/aws-cloudformation/cfn-lint/issues/3827,To review
IDAES/idaes-pse,Issue,body+title,OS=macos; FIX=fix|regression; TEST_CI=test,PETSc errors on macOS 15.1,https://github.com/IDAES/idaes-pse/issues/1536,To review
OSInside/kiwi,Issue,body+title,OS=fedora; FIX=fails,s390 image build fails on Fedora with bootloader (zipl) issues,https://github.com/OSInside/kiwi/issues/2676,To review
alexgolec/schwab-py,Issue,body,OS=ubuntu; FIX=bug|fails; TEST_CI=test,"schwab-py works with docker base ubuntu20 ,not ubuntu22",https://github.com/alexgolec/schwab-py/issues/184,To review
aws/aws-parallelcluster,Issue,body+title,OS=rhel; FIX=fails,pcluster image build fails with RHEL 8 and 9,https://github.com/aws/aws-parallelcluster/issues/6567,To review
NagiosEnterprises/ncpa,Issue,body+comment,OS=ubuntu; FIX=fix|fixed; TEST_CI=test,Large number of zombie proccesses not reaped by NCPA,https://github.com/NagiosEnterprises/ncpa/issues/1223,To review
aws/aws-sam-cli,Issue,body+comment+title,OS=linux|macos|windows; FIX=bug|fails; TEST_CI=ci|workflow,Bug: `sam init` can't fetch the manifest file directly,https://github.com/aws/aws-sam-cli/issues/7676,To review
comet-ml/opik,Issue,body+title,OS=linux|windows|wsl; FIX=bug,[Bug]: mysql & clickhouse services not properly setup on `docker compose up` on Windows 11.,https://github.com/comet-ml/opik/issues/618,To review
apple/coremltools,Issue,body+comment,OS=linux|macos; FIX=bug|fixed; TEST_CI=test,"if operation created by ""add_branch()"" cannot give right result if else_branch is called the first time",https://github.com/apple/coremltools/issues/2391,To review
OSInside/kiwi,Issue,body+comment+title,OS=debian|linux|ubuntu; FIX=fails|fix|fixed|workaround; TEST_CI=matrix; CAUSE=encoding|locale|timezone|utf-8; API=encoding=,Ubuntu ISO Boot: Failed to start Switch Root (UEFI),https://github.com/OSInside/kiwi/issues/2675,To review
canonical/craft-application,Issue,body+comment,OS=ubuntu; FIX=bug|fix|fixed|fixes; TEST_CI=tests,fetch-service logging does not work on snapped craft tools,https://github.com/canonical/craft-application/issues/550,To review
aws-deadline/deadline-cloud-for-cinema-4d,Issue,body+title,OS=windows; FIX=bug|fail|fails|failure,"Bug: LongPathsEnabled on Windows seems to be ignored, and results in read/write failure when paths > 256 chars.",https://github.com/aws-deadline/deadline-cloud-for-cinema-4d/issues/84,To review
DLR-RM/stable-baselines3,Issue,body+title,OS=linux|windows; FIX=bug,[Bug] importing stable baselines 3 on linux and windows directory issue,https://github.com/DLR-RM/stable-baselines3/issues/2034,To review
aws-deadline/deadline-cloud,Issue,body+title,OS=win32|windows; FIX=bug|fails|fix,Bug: pip install fails on Windows with Python 3.13,https://github.com/aws-deadline/deadline-cloud/issues/493,Not related
UKGovernmentBEIS/inspect_ai,Issue,body+title,OS=os x; FIX=bug|fails,[bug] `eval_set` raises PrerequisiteError when rerun after KeyboardInterrupt,https://github.com/UKGovernmentBEIS/inspect_ai/issues/805,To review
